Tank,Picture_Name,Date,Snail,Snail_abundance,Snail_count,Diameter,Biomass,Cercariae,Week,Total_Biomass
1,P1000556,5/16/2016,1,60,1,7.102,3.438850034,0,0,96.00971723
1,P1000556,5/16/2016,2,60,2,5.201,1.350615702,0,0,96.00971723
1,P1000556,5/16/2016,3,60,3,4.969,1.177818098,0,0,96.00971723
1,P1000556,5/16/2016,4,60,4,5.39,1.503271862,0,0,96.00971723
1,P1000556,5/16/2016,5,60,5,6.228,2.319087018,0,0,96.00971723
1,P1000556,5/16/2016,6,60,6,4.651,0.965851262,0,0,96.00971723
1,P1000556,5/16/2016,7,60,7,7.213,3.602624761,0,0,96.00971723
1,P1000556,5/16/2016,8,60,8,4.682,0.985293145,0,0,96.00971723
1,P1000556,5/16/2016,9,60,9,6.308,2.409607393,0,0,96.00971723
1,P1000556,5/16/2016,10,60,10,4.69,0.990352406,0,0,96.00971723
1,P1000556,5/16/2016,11,60,11,5.29,1.421144534,0,0,96.00971723
1,P1000556,5/16/2016,12,60,12,5.805,1.877923537,0,0,96.00971723
1,P1050119,5/16/2016,1,60,13,5.507,1.603306165,0,0,96.00971723
1,P1050119,5/16/2016,2,60,14,4.63,0.952827331,0,0,96.00971723
1,P1050119,5/16/2016,3,60,15,4.717,1.00755523,0,0,96.00971723
1,P1050119,5/16/2016,4,60,16,6.625,2.79144375,0,0,96.00971723
1,P1050119,5/16/2016,5,60,17,8.207,5.306699959,0,0,96.00971723
1,P1050119,5/16/2016,6,60,18,6.318,2.421085339,0,0,96.00971723
1,P1050119,5/16/2016,7,60,19,6.501,2.637616987,0,0,96.00971723
1,P1050119,5/16/2016,8,60,20,5.36,1.478310298,0,0,96.00971723
1,P1050119,5/16/2016,9,60,21,6.181,2.266978826,0,0,96.00971723
1,P1050119,5/16/2016,10,60,22,5.584,1.67150416,0,0,96.00971723
1,P1050119,5/16/2016,11,60,23,4.663,0.973346518,0,0,96.00971723
